Hash,Round,AvgTime,Rank
blake2b,round1,70545369.18333334,3.0
blake2b,round2,84327303.19999999,5.0
blake2b,round3,59203583.8,3.0
blake2b,round4,69352738.76666667,4.0
blake2b,round5,42880782.86666667,1.0
blake2b,round6,72275891.08333333,3.0
blake2b,round7,69319928.08333333,5.0
blake2b,round8,55346124.1,2.0
blake2b,round9,51218336.25,2.0
blake2s,round1,85792868.08333333,5.0
blake2s,round2,36199193.666666664,1.0
blake2s,round3,60917668.85,4.0
blake2s,round4,42278877.0,1.0
blake2s,round5,84798801.58333334,5.0
blake2s,round6,42928302.25,1.0
blake2s,round7,61578614.68333334,4.0
blake2s,round8,39751633.61666667,1.0
blake2s,round9,74904714.68333334,5.0
blake3,round1,78927001.68333334,4.0
blake3,round2,64688042.666666664,3.0
blake3,round3,65546411.21666667,5.0
blake3,round4,66023239.83333333,3.0
blake3,round5,54523048.45,4.0
blake3,round6,75731947.58333333,4.0
blake3,round7,41072923.733333334,3.0
blake3,round8,89768214.53333333,5.0
blake3,round9,56024330.983333334,3.0
sha256,round1,50698167.93333334,1.0
sha256,round2,83035852.71666667,4.0
sha256,round3,41241001.06666667,2.0
sha256,round4,51451772.38333333,2.0
sha256,round5,49954428.81666666,2.0
sha256,round6,82239363.65,5.0
sha256,round7,37638400.53333333,1.0
sha256,round8,60257611.0,3.0
sha256,round9,42097538.68333333,1.0
sha512,round1,51528873.916666664,2.0
sha512,round2,58631145.11666666,2.0
sha512,round3,38515945.483333334,1.0
sha512,round4,71267238.11666667,5.0
sha512,round5,53361632.71666667,3.0
sha512,round6,54907036.96666667,2.0
sha512,round7,40098408.61666667,2.0
sha512,round8,71966971.71666667,4.0
sha512,round9,57837314.016666666,4.0
