OS,Hash,Round,AvgTime,Rank
Aws,blake2b,round1,97466341.46666667,3.0
Aws,blake2b,round2,139128190.73333332,5.0
Aws,blake2b,round3,84126429.86666666,3.0
Aws,blake2b,round4,126805144.46666667,5.0
Aws,blake2b,round5,63409600.333333336,1.0
Aws,blake2b,round6,122491991.73333333,3.0
Aws,blake2b,round7,101744909.2,5.0
Aws,blake2b,round8,94126636.46666667,3.0
Aws,blake2b,round9,78210075.4,3.0
Aws,blake2s,round1,135891529.53333333,4.0
Aws,blake2s,round2,58940786.0,1.0
Aws,blake2s,round3,92860387.26666667,4.0
Aws,blake2s,round4,60285865.4,1.0
Aws,blake2s,round5,132864591.13333334,5.0
Aws,blake2s,round6,65075837.86666667,1.0
Aws,blake2s,round7,91419446.46666667,4.0
Aws,blake2s,round8,57396076.53333333,1.0
Aws,blake2s,round9,114968014.0,5.0
Aws,blake3,round1,143528692.8,5.0
Aws,blake3,round2,105243259.86666666,3.0
Aws,blake3,round3,99115880.0,5.0
Aws,blake3,round4,102918711.53333333,3.0
Aws,blake3,round5,90583232.26666667,3.0
Aws,blake3,round6,137642951.93333334,5.0
Aws,blake3,round7,55678203.333333336,1.0
Aws,blake3,round8,118343697.4,5.0
Aws,blake3,round9,68485768.0,2.0
Aws,sha256,round1,72867387.93333334,1.0
Aws,sha256,round2,128830118.86666666,4.0
Aws,sha256,round3,63708158.333333336,2.0
Aws,sha256,round4,84297795.6,2.0
Aws,sha256,round5,72334808.06666666,2.0
Aws,sha256,round6,129444483.53333333,4.0
Aws,sha256,round7,58940075.53333333,2.0
Aws,sha256,round8,91212149.26666667,2.0
Aws,sha256,round9,64526931.733333334,1.0
Aws,sha512,round1,85531072.86666666,2.0
Aws,sha512,round2,91230036.6,2.0
Aws,sha512,round3,56431716.86666667,1.0
Aws,sha512,round4,109123167.46666667,4.0
Aws,sha512,round5,95412605.6,4.0
Aws,sha512,round6,84476274.26666667,2.0
Aws,sha512,round7,63450790.733333334,3.0
Aws,sha512,round8,103364321.0,4.0
Aws,sha512,round9,100792849.86666666,4.0
Linux,blake2b,round1,46406095.266666666,3.0
Linux,blake2b,round2,67224082.06666666,5.0
Linux,blake2b,round3,40627225.333333336,3.0
Linux,blake2b,round4,60136543.93333333,5.0
Linux,blake2b,round5,30201457.8,1.0
Linux,blake2b,round6,58428732.6,3.0
Linux,blake2b,round7,48255429.8,5.0
Linux,blake2b,round8,44231973.266666666,3.0
Linux,blake2b,round9,37806056.266666666,3.0
Linux,blake2s,round1,62041942.8,4.0
Linux,blake2s,round2,26710688.666666668,1.0
Linux,blake2s,round3,43452161.46666667,4.0
Linux,blake2s,round4,29016335.933333334,1.0
Linux,blake2s,round5,60906021.86666667,5.0
Linux,blake2s,round6,30898424.466666665,1.0
Linux,blake2s,round7,44489818.93333333,4.0
Linux,blake2s,round8,28644764.6,1.0
Linux,blake2s,round9,55572998.06666667,5.0
Linux,blake3,round1,65954800.6,5.0
Linux,blake3,round2,47981117.46666667,3.0
