Algorithm,Data Size (MB),Total Time (ms),Avg Time (ms),Speed (MBps)
blake3,1,1.8680095672607422,0.37360191345214844,535.3291640076579
blake3,2,6.9522857666015625,1.3904571533203125,287.6751714677641
blake3,4,41.26930236816406,8.253860473632812,96.92434256135324
blake2s,1,87.12267875671387,17.424535751342773,11.478067642897605
blake3,8,146.47769927978516,29.29553985595703,54.61582233565332
blake2s,2,82.03506469726562,16.407012939453125,24.37981864682632
blake3,16,335.3145122528076,67.06290245056152,47.7163958473021
blake2s,4,287.51420974731445,57.50284194946289,13.91235585717816
blake3,32,541.3086414337158,108.26172828674316,59.11599695738176
blake2s,8,490.82016944885254,98.16403388977051,16.299248682023986
blake3,64,1016.0915851593018,203.21831703186035,62.986448204830026
blake2s,16,971.9808101654053,194.39616203308105,16.461230337744247
blake3,128,1948.589563369751,389.7179126739502,65.68853821563428
blake2b,1,62.669992446899414,12.533998489379883,15.956599976413031
blake2b,2,117.67935752868652,23.535871505737305,16.995334118071327
blake2s,32,1761.1804008483887,352.23608016967773,18.169632131146297
blake2b,4,165.02714157104492,33.005428314208984,24.23843715597523
blake2b,8,362.0283603668213,72.40567207336426,22.097716300165235
blake2b,16,675.3771305084229,135.07542610168457,23.690467558407292
blake3,200,3256.9918632507324,651.3983726501465,61.40635543387092
blake2b,32,1357.750415802002,271.5500831604004,23.568396391245514
blake2s,64,3630.530834197998,726.1061668395996,17.628276117957256
blake2b,64,2543.034553527832,508.6069107055664,25.166783483620314
sha256,1,72.60537147521973,14.521074295043945,13.773085650299315
sha256,2,193.16673278808594,38.63334655761719,10.353749691434214
sha256,4,311.0666275024414,62.21332550048828,12.858981473249187
sha256,8,711.8303775787354,142.36607551574707,11.238632477601902
blake3,512,8016.051292419434,1603.2102584838867,63.87184678872811
sha256,16,1245.7683086395264,249.15366172790527,12.843479713714355
blake2s,128,7385.6072425842285,1477.1214485168457,17.331005534923722
blake2b,128,4980.362176895142,996.0724353790283,25.70094211096065
sha256,32,2439.988613128662,487.9977226257324,13.114815301932158
blake2s,200,11144.621849060059,2228.9243698120117,17.945875841168004
blake2b,200,8300.458908081055,1660.091781616211,24.095053323532095
sha256,64,4833.67133140564,966.7342662811279,13.240453397022485
sha256,128,7358.5522174835205,1471.710443496704,17.394726057101145
sha256,200,9329.092025756836,1865.8184051513672,21.438313551610047
blake2b,512,13881.919145584106,2776.3838291168213,36.882508436369136
blake2s,512,16990.843296051025,3398.168659210205,30.133878058836427
sha256,512,11732.667207717896,2346.533441543579,43.63884110368357
