Algorithm,Data Size (MB),Timing (ms)
blake3,1,0.37980079650878906
blake3,1,0.4131793975830078
blake3,1,0.3650188446044922
blake3,1,0.3554821014404297
blake3,1,0.35452842712402344
blake3,2,1.077890396118164
blake3,2,1.1768341064453125
blake3,2,1.3644695281982422
blake3,2,1.6083717346191406
blake3,2,1.7247200012207031
blake3,4,13.620376586914062
blake3,4,6.904840469360352
blake3,4,7.825613021850586
blake3,4,10.905027389526367
blake3,4,2.0134449005126953
blake2s,1,13.939619064331055
blake2s,1,22.33123779296875
blake2s,1,11.876344680786133
blake2s,1,10.527372360229492
blake2s,1,28.448104858398438
blake3,8,8.93402099609375
blake3,8,33.58864784240723
blake3,8,34.16776657104492
blake3,8,36.15975379943848
blake3,8,33.62751007080078
blake2s,2,10.587692260742188
blake2s,2,18.251895904541016
blake2s,2,8.515119552612305
blake2s,2,27.797698974609375
blake2s,2,16.882658004760742
blake3,16,110.69273948669434
blake3,16,71.82097434997559
blake3,16,48.271894454956055
blake3,16,59.630632400512695
blake3,16,44.898271560668945
blake2s,4,36.50355339050293
blake2s,4,54.76069450378418
blake2s,4,57.56783485412598
blake2s,4,77.1951675415039
blake2s,4,61.48695945739746
blake3,32,55.22656440734863
blake3,32,115.17739295959473
blake3,32,123.6121654510498
blake3,32,132.9197883605957
blake3,32,114.37273025512695
blake2s,8,99.63321685791016
blake2s,8,62.35384941101074
blake2s,8,98.36745262145996
blake2s,8,93.29605102539062
blake2s,8,137.16959953308105
blake3,64,228.2114028930664
blake3,64,220.39556503295898
blake3,64,209.7022533416748
blake3,64,194.1831111907959
blake3,64,163.59925270080566
blake2s,16,170.81356048583984
blake2s,16,248.0449676513672
blake2s,16,144.18673515319824
blake2s,16,209.69343185424805
blake2s,16,199.24211502075195
blake3,128,379.77004051208496
blake3,128,372.8179931640625
blake3,128,366.926908493042
blake3,128,411.8211269378662
blake3,128,417.2534942626953
blake2b,1,8.318424224853516
blake2b,1,2.3224353790283203
blake2b,1,16.97254180908203
blake2b,1,32.254934310913086
blake2b,1,2.801656723022461
blake2b,2,33.019304275512695
blake2b,2,17.8835391998291
blake2b,2,31.2654972076416
blake2b,2,4.070281982421875
blake2b,2,31.44073486328125
blake2s,32,357.62596130371094
blake2s,32,286.3936424255371
blake2s,32,408.59031677246094
blake2s,32,342.90099143981934
blake2s,32,365.66948890686035
blake2b,4,31.93974494934082
blake2b,4,30.082225799560547
blake2b,4,31.45432472229004
blake2b,4,18.65386962890625
blake2b,4,52.896976470947266
blake2b,8,49.52549934387207
blake2b,8,87.28623390197754
blake2b,8,76.9965648651123
blake2b,8,63.74096870422363
blake2b,8,84.47909355163574
blake2b,16,114.93158340454102
blake2b,16,128.40652465820312
blake2b,16,143.3558464050293
blake2b,16,133.01539421081543
blake2b,16,155.66778182983398
blake3,200,770.3189849853516
blake3,200,644.5009708404541
blake3,200,656.5885543823242
blake3,200,546.9110012054443
blake3,200,638.6723518371582
blake2b,32,278.42116355895996
blake2b,32,273.53858947753906
blake2b,32,286.391019821167
blake2b,32,240.76342582702637
blake2b,32,278.63621711730957
blake2s,64,727.5056838989258
blake2s,64,787.2891426086426
blake2s,64,687.5143051147461
blake2s,64,636.8198394775391
blake2s,64,791.4018630981445
blake2b,64,467.66161918640137
blake2b,64,525.1758098602295
blake2b,64,533.9639186859131
blake2b,64,467.73743629455566
blake2b,64,548.4957695007324
sha256,1,20.96843719482422
sha256,1,4.563808441162109
sha256,1,28.760910034179688
sha256,1,14.109134674072266
sha256,1,4.203081130981445
sha256,2,77.34227180480957
sha256,2,34.93618965148926
sha256,2,9.465217590332031
sha256,2,32.14240074157715
sha256,2,39.28065299987793
sha256,4,51.789045333862305
sha256,4,66.01929664611816
sha256,4,59.97490882873535
sha256,4,73.27604293823242
sha256,4,60.007333755493164
sha256,8,168.2415008544922
sha256,8,194.80252265930176
sha256,8,135.78462600708008
sha256,8,100.15058517456055
sha256,8,112.85114288330078
blake3,512,1592.2167301177979
blake3,512,1638.6189460754395
blake3,512,1621.0827827453613
blake3,512,1611.8555068969727
blake3,512,1552.2773265838623
sha256,16,276.0493755340576
sha256,16,214.97416496276855
sha256,16,242.85173416137695
sha256,16,283.8766574859619
sha256,16,228.01637649536133
blake2s,128,1424.1199493408203
blake2s,128,1487.2024059295654
blake2s,128,1528.409719467163
blake2s,128,1446.230411529541
blake2s,128,1499.6447563171387
blake2b,128,1069.7216987609863
blake2b,128,920.9613800048828
blake2b,128,1032.1965217590332
blake2b,128,955.7099342346191
blake2b,128,1001.7726421356201
sha256,32,483.9293956756592
sha256,32,407.9735279083252
sha256,32,559.7712993621826
sha256,32,473.4973907470703
sha256,32,514.8169994354248
blake2s,200,2335.191249847412
blake2s,200,2320.873737335205
blake2s,200,2119.457960128784
blake2s,200,2290.6899452209473
blake2s,200,2078.40895652771
blake2b,200,1696.9313621520996
blake2b,200,1669.328212738037
blake2b,200,1561.8715286254883
blake2b,200,1692.0535564422607
blake2b,200,1680.274248123169
sha256,64,980.9229373931885
sha256,64,1093.886375427246
sha256,64,1098.294734954834
sha256,64,941.7541027069092
sha256,64,718.8131809234619
sha256,128,2120.6188201904297
sha256,128,1683.9075088500977
sha256,128,1234.0309619903564
sha256,128,1151.0264873504639
sha256,128,1168.9684391021729
sha256,200,2617.6979541778564
sha256,200,1894.1655158996582
sha256,200,1837.397575378418
sha256,200,1470.761775970459
sha256,200,1509.0692043304443
blake2b,512,4246.399164199829
blake2b,512,3342.0541286468506
blake2b,512,2562.7050399780273
blake2b,512,1906.7366123199463
blake2b,512,1824.0242004394531
blake2s,512,5806.010007858276
blake2s,512,4259.772777557373
blake2s,512,3224.431037902832
blake2s,512,2325.873374938965
blake2s,512,1374.756097793579
sha256,512,4176.393508911133
sha256,512,2015.798568725586
sha256,512,1846.0633754730225
sha256,512,1834.885835647583
sha256,512,1859.5259189605713
