Algorithm,Data Size (MB),Iterations,Total Time (ms),Avg Time (ms),Speed (MBps)
md5,1,5,8.44883918762207,1.689767837524414,2958.9863701780623
md5,2,5,18.128156661987305,3.625631332397461,2758.140330111133
md5,4,5,36.28206253051758,7.256412506103516,2756.182891088068
md5,8,5,72.02625274658203,14.405250549316406,2776.7653095001656
md5,16,5,147.0789909362793,29.41579818725586,2719.627034790418
md5,32,5,296.6632843017578,59.33265686035156,2696.659958723648
md5,64,5,599.8260974884033,119.96521949768066,2667.439790798588
md5,128,5,1260.3652477264404,252.0730495452881,2538.9465520193025
md5,200,5,2025.5944728851318,405.11889457702637,2468.4111587638313
md5,512,5,5157.304525375366,1031.4609050750732,2481.9166556910604
sha1,1,5,7.616996765136719,1.5233993530273438,3282.133466883686
sha1,2,5,20.52927017211914,4.105854034423828,2435.546884073119
sha1,4,5,32.53793716430664,6.507587432861328,3073.335580403593
sha1,8,5,77.96287536621094,15.592575073242188,2565.3235474006115
sha1,16,5,146.38972282409668,29.277944564819336,2732.432251959681
sha1,32,5,290.49086570739746,58.09817314147949,2753.9592270891417
sha1,64,5,590.0259017944336,118.00518035888672,2711.7453575071077
sha1,128,5,1147.8979587554932,229.57959175109863,2787.7042341545034
sha1,200,5,1810.93168258667,362.186336517334,2761.0097322159495
sha1,512,5,4603.545427322388,920.7090854644775,2780.4656654479913
sha256,1,5,18.532752990722656,3.7065505981445312,1348.9631039983533
sha256,2,5,38.2685661315918,7.653713226318359,1306.555354806554
sha256,4,5,69.9927806854248,13.998556137084961,1428.718776718409
sha256,8,5,148.70142936706543,29.740285873413086,1344.976984090082
sha256,16,5,292.0067310333252,58.40134620666504,1369.8314370511894
sha256,32,5,578.6433219909668,115.72866439819336,1382.5442541139164
sha256,64,5,1176.2073040008545,235.2414608001709,1360.3044247027033
sha256,128,5,2330.345869064331,466.0691738128662,1373.1867198257778
sha256,200,5,3637.7971172332764,727.5594234466553,1374.4581786360714
sha256,512,5,9320.496797561646,1864.099359512329,1373.317354000769
sha512,1,5,11.952638626098633,2.3905277252197266,2091.5883749227055
sha512,2,5,28.192520141601562,5.6385040283203125,1773.5200595358906
sha512,4,5,46.13924026489258,9.227848052978516,2167.352549064189
sha512,8,5,96.61054611206055,19.32210922241211,2070.167368353512
sha512,16,5,188.31872940063477,37.66374588012695,2124.0585111905057
sha512,32,5,394.4659233093262,78.89318466186523,2028.0585792772483
sha512,64,5,784.7464084625244,156.94928169250488,2038.875212101602
sha512,128,5,1555.530309677124,311.1060619354248,2057.176244070881
sha512,200,5,2433.351755142212,486.6703510284424,2054.7789646251886
sha512,512,5,6222.173452377319,1244.4346904754639,2057.158981177144
sha3_256,1,5,17.62247085571289,3.524494171142578,1418.6432881456828
sha3_256,2,5,35.36415100097656,7.0728302001953125,1413.8611725365406
sha3_256,4,5,68.44925880432129,13.689851760864258,1460.9361992636634
sha3_256,8,5,138.34261894226074,27.66852378845215,1445.6860910192313
sha3_256,16,5,276.5240669250488,55.304813385009766,1446.5287034434475
sha3_256,32,5,554.8224449157715,110.9644889831543,1441.9027336239963
sha3_256,64,5,1110.7406616210938,222.14813232421875,1440.4802626608146
sha3_256,128,5,2217.8268432617188,443.56536865234375,1442.8538502554225
sha3_256,200,5,3462.8539085388184,692.5707817077637,1443.89573804163
sha3_256,512,5,8879.334688186646,1775.866937637329,1441.5494459319723
blake2s,1,5,12.603998184204102,2.5207996368408203,1983.4975881963492
blake2s,2,5,26.044130325317383,5.208826065063477,1919.8183765573935
blake2s,4,5,52.58941650390625,10.51788330078125,1901.523284491513
blake2s,8,5,106.54902458190918,21.309804916381836,1877.0702104949887
blake2s,16,5,211.98344230651855,42.39668846130371,1886.939827223005
blake2s,32,5,426.7432689666748,85.34865379333496,1874.6634292255785
blake2s,64,5,853.2862663269043,170.65725326538086,1875.1034244198424
blake2s,128,5,1702.6503086090088,340.53006172180176,1879.422911340063
blake2s,200,5,2662.2321605682373,532.4464321136475,1878.1232058036517
blake2s,512,5,6817.166090011597,1363.4332180023193,1877.6130478549373
blake2b,1,5,8.969545364379883,1.7939090728759766,2787.209271417559
blake2b,2,5,17.182350158691406,3.4364700317382812,2909.962812898929
blake2b,4,5,35.82000732421875,7.16400146484375,2791.7358892438765
blake2b,8,5,71.13909721374512,14.227819442749023,2811.393563219932
blake2b,16,5,144.67620849609375,28.93524169921875,2764.7946000105467
blake2b,32,5,288.0363464355469,57.607269287109375,2777.4272583998836
blake2b,64,5,573.4338760375977,114.68677520751953,2790.208369020554
blake2b,128,5,1147.2837924957275,229.4567584991455,2789.196553573659
blake2b,200,5,1789.1557216644287,357.83114433288574,2794.6142079508672
blake2b,512,5,4578.742980957031,915.7485961914062,2795.527080955436
blake3,1,5,1.8467903137207031,0.3693580627441406,13536.999741802221
blake3,2,5,5.064487457275391,1.0128974914550781,9872.667357122682
blake3,4,5,11.938095092773438,2.3876190185546875,8376.545774085318
blake3,8,5,18.50128173828125,3.70025634765625,10810.061855670103
blake3,16,5,40.66801071166992,8.133602142333984,9835.74049972446
blake3,32,5,93.0185317993164,18.60370635986328,8600.436757333115
blake3,64,5,175.22644996643066,35.04528999328613,9131.041576808313
blake3,128,5,348.4799861907959,69.69599723815918,9182.736819347701
blake3,200,5,563.4579658508301,112.69159317016602,8873.776400427536
blake3,512,5,1435.5242252349854,287.10484504699707,8916.603269376892
