Algorithm,Data Size (MB),Timing (ms)
md5,1,1.775503158569336
md5,1,1.8918514251708984
md5,1,1.6324520111083984
md5,1,1.575469970703125
md5,1,1.5735626220703125
md5,2,3.5364627838134766
md5,2,3.740072250366211
md5,2,3.8039684295654297
md5,2,3.397226333618164
md5,2,3.6504268646240234
md5,4,7.9174041748046875
md5,4,6.769657135009766
md5,4,7.675886154174805
md5,4,7.154226303100586
md5,4,6.764888763427734
md5,8,14.632225036621094
md5,8,14.982461929321289
md5,8,14.033317565917969
md5,8,14.188289642333984
md5,8,14.189958572387695
md5,16,30.294179916381836
md5,16,29.746532440185547
md5,16,28.65910530090332
md5,16,28.690338134765625
md5,16,29.68883514404297
md5,32,58.279991149902344
md5,32,60.03403663635254
md5,32,58.52031707763672
md5,32,60.19115447998047
md5,32,59.63778495788574
md5,64,122.58696556091309
md5,64,119.41123008728027
md5,64,119.58026885986328
md5,64,118.13879013061523
md5,64,120.10884284973145
md5,128,247.50328063964844
md5,128,239.83073234558105
md5,128,257.60483741760254
md5,128,257.46774673461914
md5,128,257.95865058898926
md5,200,412.02664375305176
md5,200,403.6250114440918
md5,200,404.4630527496338
md5,200,401.6988277435303
md5,200,403.7809371948242
md5,512,1021.6946601867676
md5,512,1038.2695198059082
md5,512,1032.813310623169
md5,512,1030.2786827087402
md5,512,1034.2483520507812
sha1,1,1.2946128845214844
sha1,1,1.6887187957763672
sha1,1,2.1173954010009766
sha1,1,1.2445449829101562
sha1,1,1.2717247009277344
sha1,2,5.67936897277832
sha1,2,3.965139389038086
sha1,2,2.6924610137939453
sha1,2,3.698587417602539
sha1,2,4.49371337890625
sha1,4,6.434202194213867
sha1,4,5.981683731079102
sha1,4,6.611347198486328
sha1,4,7.106304168701172
sha1,4,6.404399871826172
sha1,8,12.51530647277832
sha1,8,20.804166793823242
sha1,8,12.519598007202148
sha1,8,17.324209213256836
sha1,8,14.79959487915039
sha1,16,30.592918395996094
sha1,16,27.521133422851562
sha1,16,29.422521591186523
sha1,16,28.994083404541016
sha1,16,29.859066009521484
sha1,32,59.96084213256836
sha1,32,51.392555236816406
sha1,32,60.34731864929199
sha1,32,54.92067337036133
sha1,32,63.869476318359375
sha1,64,115.0665283203125
sha1,64,119.78363990783691
sha1,64,118.77608299255371
sha1,64,113.36350440979004
sha1,64,123.03614616394043
sha1,128,230.44633865356445
sha1,128,230.5610179901123
sha1,128,231.17375373840332
sha1,128,231.98413848876953
sha1,128,223.73270988464355
sha1,200,351.56869888305664
sha1,200,356.1575412750244
sha1,200,368.41845512390137
sha1,200,373.4118938446045
sha1,200,361.375093460083
sha1,512,903.5067558288574
sha1,512,931.5972328186035
sha1,512,918.2209968566895
sha1,512,927.6859760284424
sha1,512,922.5344657897949
sha256,1,3.123760223388672
sha256,1,3.007173538208008
sha256,1,4.067420959472656
sha256,1,2.6199817657470703
sha256,1,5.71441650390625
sha256,2,8.536577224731445
