Algorithm,Data Size (MB),Average_CPU_Usage,Peak_Memory
blake2b,1,17.9,122.652344
blake2b,2,10.1,122.652344
blake2b,4,15.8,122.652344
blake2b,8,16.5,122.652344
blake2b,16,17.7,122.652344
blake2b,32,21.3,122.652344
blake2b,64,10.7,122.652344
blake2b,128,5.7,122.652344
blake2b,200,20.6,122.652344
blake2b,512,12.9,122.652344
blake2s,1,11.1,122.652344
blake2s,2,5.9,122.652344
blake2s,4,20.4,122.652344
blake2s,8,8.9,122.652344
blake2s,16,21.5,122.652344
blake2s,32,9.7,122.652344
blake2s,64,11.7,122.652344
blake2s,128,7.4,122.652344
blake2s,200,8.7,122.652344
blake2s,512,5.7,122.652344
blake3,1,10.1,122.652344
blake3,2,13.4,122.652344
blake3,4,10.3,122.652344
blake3,8,15.8,122.652344
blake3,16,3.4,122.652344
blake3,32,9.3,122.652344
blake3,64,14.3,122.652344
blake3,128,17.9,122.652344
blake3,200,12.5,122.652344
blake3,512,12.7,122.652344
md5,1,3.8,122.652344
md5,2,11.3,122.652344
md5,4,11.1,122.652344
md5,8,10.5,122.652344
md5,16,5.9,122.652344
md5,32,21.6,122.652344
md5,64,9.1,122.652344
md5,128,20.3,122.652344
md5,200,7.2,122.652344
md5,512,7.4,122.652344
sha1,1,3.8,122.652344
sha1,2,5.7,122.652344
sha1,4,2.4,122.652344
sha1,8,7.2,122.652344
sha1,16,21.3,122.652344
sha1,32,13.8,122.652344
sha1,64,4.3,122.652344
sha1,128,14.3,122.652344
sha1,200,21.7,122.652344
sha1,512,6.8,122.652344
sha256,1,6.8,122.652344
sha256,2,6.5,122.652344
sha256,4,14.7,122.652344
sha256,8,6.1,122.652344
sha256,16,18.7,122.652344
sha256,32,11.9,122.652344
sha256,64,11.9,122.652344
sha256,128,5.2,122.652344
sha256,200,0.7,122.652344
sha256,512,10.5,122.652344
sha3_256,1,15.8,122.652344
sha3_256,2,10.9,122.652344
sha3_256,4,22.2,122.652344
sha3_256,8,16.8,122.652344
sha3_256,16,13.2,122.652344
sha3_256,32,9.7,122.652344
sha3_256,64,11.1,122.652344
sha3_256,128,1.5,122.652344
sha3_256,200,8.9,122.652344
sha3_256,512,21.3,122.652344
sha512,1,12.7,122.652344
sha512,2,16.1,122.652344
sha512,4,16.0,122.652344
sha512,8,22.4,122.652344
sha512,16,7.9,122.652344
sha512,32,10.9,122.652344
sha512,64,10.9,122.652344
sha512,128,12.3,122.652344
sha512,200,12.7,122.652344
sha512,512,5.0,122.652344
