Algorithm,Data Size (MB),Total Time (ms),Avg Time (ms),Speed (MBps)
blake3,1,6.57200813293457,1.314401626586914,152.16049337928533
blake3,2,10.970354080200195,2.194070816040039,182.30952122226327
blake3,4,26.953697204589844,5.390739440917969,148.40264656972013
blake2s,1,20.02263069152832,4.004526138305664,49.94348721734678
blake3,8,51.24926567077637,10.249853134155273,156.09979763206252
blake2s,2,39.04557228088379,7.809114456176758,51.2221971191129
blake3,16,98.27017784118652,19.654035568237305,162.81643476678596
blake2s,4,61.32769584655762,12.265539169311523,65.22338634746741
blake3,32,183.31456184387207,36.662912368774414,174.5633280745815
blake2s,8,137.6476287841797,27.529525756835938,58.119417462275
blake3,64,313.98749351501465,62.79749870300293,203.82977450323054
blake2s,16,263.4868621826172,52.69737243652344,60.7240902543017
blake3,128,594.322681427002,118.86453628540039,215.37121836350727
blake2b,1,12.619733810424805,2.523946762084961,79.24097409835446
blake2s,32,538.2206439971924,107.64412879943848,59.45517021113543
blake2b,2,20.418882369995117,4.083776473999023,97.94855388064407
blake2b,4,41.48411750793457,8.296823501586914,96.42244406512756
blake2b,8,76.81751251220703,15.363502502441406,104.1429192168742
blake2b,16,175.03118515014648,35.0062370300293,91.41228168154588
blake3,200,850.8539199829102,170.17078399658203,235.05797564406484
blake2b,32,350.724458694458,70.1448917388916,91.23971598421531
blake2s,64,1092.7610397338867,218.55220794677734,58.56724175999679
blake2b,64,677.9565811157227,135.59131622314453,94.40132566406288
sha256,1,5.386590957641602,1.0773181915283203,185.64617359359093
sha256,2,11.081218719482422,2.2162437438964844,180.4855630620939
sha256,4,23.084640502929688,4.6169281005859375,173.27538626786747
sha256,8,43.2744026184082,8.65488052368164,184.8667922823488
sha256,16,86.04145050048828,17.208290100097656,185.95688365236475
sha256,32,170.56679725646973,34.113359451293945,187.6097840535973
blake3,512,2042.074203491211,408.4148406982422,250.72546292620734
sha256,64,339.9984836578369,67.99969673156738,188.23613361878242
blake2b,128,1418.5402393341064,283.7080478668213,90.2336052589428
blake2s,128,2112.048625946045,422.409725189209,60.60466526553822
sha256,128,652.3492336273193,130.46984672546387,196.21391948032107
blake2b,200,2027.3137092590332,405.46274185180664,98.65271422304858
sha256,200,973.003625869751,194.6007251739502,205.54907986208528
blake2s,200,2995.9559440612793,599.1911888122559,66.75665588355835
sha256,512,2124.2058277130127,424.84116554260254,241.03125663261898
blake2b,512,3772.6266384124756,754.5253276824951,135.71446344222656
blake2s,512,5621.811389923096,1124.3622779846191,91.07384870964232
