Algorithm,Data Size (MB),Timing (ms)
blake3,1,1.2271404266357422
blake3,1,1.4500617980957031
blake3,1,1.0538101196289062
blake3,1,1.3437271118164062
blake3,1,1.4972686767578125
blake3,2,2.270936965942383
blake3,2,2.040386199951172
blake3,2,2.0186901092529297
blake3,2,2.612590789794922
blake3,2,2.027750015258789
blake3,4,4.989862442016602
blake3,4,4.556894302368164
blake3,4,5.916118621826172
blake3,4,6.083250045776367
blake3,4,5.407571792602539
blake2s,1,3.926515579223633
blake2s,1,3.5903453826904297
blake2s,1,3.266572952270508
blake2s,1,4.904747009277344
blake2s,1,4.334449768066406
blake3,8,8.557319641113281
blake3,8,10.223150253295898
blake3,8,11.9476318359375
blake3,8,9.747982025146484
blake3,8,10.773181915283203
blake2s,2,7.979869842529297
blake2s,2,8.294343948364258
blake2s,2,8.947610855102539
blake2s,2,7.374048233032227
blake2s,2,6.449699401855469
blake3,16,21.854400634765625
blake3,16,21.2705135345459
blake3,16,16.877412796020508
blake3,16,20.752668380737305
blake3,16,17.515182495117188
blake2s,4,12.259721755981445
blake2s,4,12.42208480834961
blake2s,4,14.732122421264648
blake2s,4,11.036157608032227
blake2s,4,10.877609252929688
blake3,32,38.161516189575195
blake3,32,38.83981704711914
blake3,32,35.773515701293945
blake3,32,32.89508819580078
blake3,32,37.64462471008301
blake2s,8,31.056642532348633
blake2s,8,29.773473739624023
blake2s,8,23.60820770263672
blake2s,8,25.865554809570312
blake2s,8,27.34375
blake3,64,75.02913475036621
blake3,64,65.36746025085449
blake3,64,62.20602989196777
blake3,64,55.10902404785156
blake3,64,56.27584457397461
blake2s,16,52.80423164367676
blake2s,16,55.22775650024414
blake2s,16,53.99060249328613
blake2s,16,47.742366790771484
blake2s,16,53.72190475463867
blake3,128,120.54014205932617
blake3,128,119.79031562805176
blake3,128,124.89509582519531
blake3,128,120.67413330078125
blake3,128,108.42299461364746
blake2b,1,2.72369384765625
blake2b,1,2.745389938354492
blake2b,1,2.9141902923583984
blake2b,1,2.4008750915527344
blake2b,1,1.8355846405029297
blake2s,32,116.66035652160645
blake2s,32,107.61737823486328
blake2s,32,95.96014022827148
blake2s,32,122.79248237609863
blake2s,32,95.19028663635254
blake2b,2,5.801916122436523
blake2b,2,4.111289978027344
blake2b,2,3.366231918334961
blake2b,2,3.4685134887695312
blake2b,2,3.670930862426758
blake2b,4,8.371829986572266
blake2b,4,9.920358657836914
blake2b,4,6.335258483886719
blake2b,4,8.414983749389648
blake2b,4,8.441686630249023
blake2b,8,14.366865158081055
blake2b,8,16.91460609436035
blake2b,8,18.753767013549805
blake2b,8,13.670921325683594
blake2b,8,13.111352920532227
blake2b,16,33.46705436706543
blake2b,16,36.377906799316406
blake2b,16,30.4718017578125
blake2b,16,37.992000579833984
blake2b,16,36.722421646118164
blake3,200,186.99216842651367
blake3,200,152.14037895202637
blake3,200,158.43844413757324
blake3,200,178.1160831451416
blake3,200,175.16684532165527
blake2b,32,70.44863700866699
blake2b,32,70.4801082611084
blake2b,32,79.27274703979492
blake2b,32,61.09309196472168
blake2b,32,69.42987442016602
blake2s,64,214.066743850708
blake2s,64,212.42809295654297
blake2s,64,223.74916076660156
blake2s,64,228.35874557495117
blake2s,64,214.158296585083
blake2b,64,128.71289253234863
blake2b,64,140.00439643859863
blake2b,64,134.2170238494873
blake2b,64,134.73081588745117
blake2b,64,140.2914524078369
sha256,1,0.9181499481201172
sha256,1,1.0056495666503906
sha256,1,1.2831687927246094
sha256,1,1.224517822265625
sha256,1,0.9551048278808594
sha256,2,2.1915435791015625
sha256,2,2.575397491455078
sha256,2,2.209901809692383
sha256,2,1.9986629486083984
sha256,2,2.105712890625
sha256,4,5.084753036499023
sha256,4,4.5948028564453125
sha256,4,4.367828369140625
sha256,4,4.157304763793945
sha256,4,4.879951477050781
sha256,8,8.027315139770508
sha256,8,8.272886276245117
sha256,8,8.714675903320312
sha256,8,9.426593780517578
sha256,8,8.832931518554688
sha256,16,17.528295516967773
sha256,16,16.993999481201172
sha256,16,16.968965530395508
sha256,16,17.386913299560547
sha256,16,17.16327667236328
sha256,32,34.23476219177246
sha256,32,35.85505485534668
sha256,32,33.33425521850586
sha256,32,31.751394271850586
sha256,32,35.39133071899414
blake3,512,452.41856575012207
blake3,512,411.3507270812988
blake3,512,357.2227954864502
blake3,512,412.29796409606934
blake3,512,408.7841510772705
sha256,64,67.82984733581543
sha256,64,70.098876953125
sha256,64,69.92697715759277
sha256,64,66.06483459472656
sha256,64,66.07794761657715
blake2b,128,279.921293258667
blake2b,128,271.2216377258301
blake2b,128,283.82420539855957
blake2b,128,285.9766483306885
blake2b,128,297.5964546203613
blake2s,128,433.13050270080566
blake2s,128,394.7489261627197
blake2s,128,432.6932430267334
blake2s,128,421.54860496520996
blake2s,128,429.9273490905762
sha256,128,137.16959953308105
sha256,128,125.87523460388184
sha256,128,132.02476501464844
sha256,128,129.3010711669922
sha256,128,127.97856330871582
blake2b,200,448.1921195983887
blake2b,200,415.4982566833496
blake2b,200,421.0093021392822
blake2b,200,405.825138092041
blake2b,200,336.7888927459717
sha256,200,203.47309112548828
sha256,200,198.32754135131836
sha256,200,190.0348663330078
sha256,200,191.47062301635742
sha256,200,189.6975040435791
blake2s,200,663.3834838867188
blake2s,200,679.0268421173096
blake2s,200,663.9487743377686
blake2s,200,522.0651626586914
blake2s,200,467.531681060791
sha256,512,495.67627906799316
sha256,512,427.4640083312988
sha256,512,402.0648002624512
sha256,512,398.5633850097656
sha256,512,400.4373550415039
blake2b,512,1015.0928497314453
blake2b,512,725.0401973724365
blake2b,512,700.8676528930664
blake2b,512,656.6896438598633
blake2b,512,674.9362945556641
blake2s,512,1541.9394969940186
blake2s,512,1124.5570182800293
blake2s,512,1056.9510459899902
blake2s,512,976.447343826294
blake2s,512,921.9164848327637
