Algorithm,Data Size (MB),Iterations,Total Time (ms),Avg Time (ms),Speed (MBps)
md5,1,5,6.727933883666992,1.3455867767333984,3715.851022360821
md5,2,5,13.378381729125977,2.6756763458251953,3737.372801311639
md5,4,5,27.074575424194336,5.414915084838867,3693.502056199861
md5,8,5,54.26931381225586,10.853862762451172,3685.323914208644
md5,16,5,107.87463188171387,21.574926376342773,3708.0080184060876
md5,32,5,214.26820755004883,42.853641510009766,3733.6383644929488
md5,64,5,431.97083473205566,86.39416694641113,3703.953765750073
md5,128,5,873.2001781463623,174.64003562927246,3664.6808831315066
md5,200,5,1356.0240268707275,271.2048053741455,3687.250300083849
md5,512,5,3456.1941623687744,691.2388324737549,3703.4956367229247
sha1,1,5,2.7306079864501953,0.5461215972900391,9155.470182484938
sha1,2,5,5.677938461303711,1.1355876922607422,8806.01301700609
sha1,4,5,11.893749237060547,2.3787498474121094,8407.77773323177
sha1,8,5,24.12247657775879,4.824495315551758,8291.022663253507
sha1,16,5,46.504974365234375,9.300994873046875,8601.230415880567
sha1,32,5,95.33500671386719,19.067001342773438,8391.461096772902
sha1,64,5,195.16420364379883,39.032840728759766,8198.224726293645
sha1,128,5,391.2985324859619,78.25970649719238,8177.899313013146
sha1,200,5,591.0212993621826,118.20425987243652,8459.931994660585
sha1,512,5,1554.4624328613281,310.8924865722656,8234.357890810394
sha256,1,5,3.0364990234375,0.6072998046875,8233.165829145728
sha256,2,5,6.074428558349609,1.2148857116699219,8231.22694089018
sha256,4,5,12.789487838745117,2.5578975677490234,7818.921387692709
sha256,8,5,26.49378776550293,5.298757553100586,7548.939463477408
sha256,16,5,52.14524269104004,10.429048538208008,7670.881932029646
sha256,32,5,102.70357131958008,20.540714263916016,7789.4078046289205
sha256,64,5,207.3521614074707,41.47043228149414,7716.3410747178905
sha256,128,5,413.1662845611572,82.63325691223145,7745.065654132128
sha256,200,5,651.8228054046631,130.36456108093262,7670.79635530075
sha256,512,5,1674.3552684783936,334.8710536956787,7644.733612378618
sha512,1,5,6.995916366577148,1.3991832733154297,3573.513274034693
sha512,2,5,14.27769660949707,2.855539321899414,3501.965433748017
sha512,4,5,28.616905212402344,5.723381042480469,3494.437964474956
sha512,8,5,56.79154396057129,11.358308792114258,3521.651042606874
sha512,16,5,110.86845397949219,22.173690795898438,3607.879298776816
sha512,32,5,231.45413398742676,46.29082679748535,3456.4083441406938
sha512,64,5,436.11693382263184,87.22338676452637,3668.740825942608
sha512,128,5,883.4764957427979,176.69529914855957,3622.054480701884
sha512,200,5,1423.9985942840576,284.7997188568115,3511.239421211539
sha512,512,5,3572.174549102783,714.4349098205566,3583.2515528153444
sha3_256,1,5,11.7645263671875,2.3529052734375,2125.0324254215307
sha3_256,2,5,25.249481201171875,5.049896240234375,1980.238706753286
sha3_256,4,5,48.384904861450195,9.676980972290039,2066.760289936484
sha3_256,8,5,96.59504890441895,19.31900978088379,2070.4994952474276
sha3_256,16,5,179.01372909545898,35.8027458190918,2234.4654905585494
sha3_256,32,5,356.3652038574219,71.27304077148438,2244.8880848649633
sha3_256,64,5,693.4940814971924,138.69881629943848,2307.157397141359
sha3_256,128,5,1432.3599338531494,286.4719867706299,2234.0753356537793
sha3_256,200,5,2218.744993209839,443.7489986419678,2253.5262120260804
sha3_256,512,5,5766.263723373413,1153.2527446746826,2219.8082873170547
blake2s,1,5,8.892059326171875,1.778411865234375,2811.4972114972115
blake2s,2,5,17.13871955871582,3.427743911743164,2917.3708005842664
blake2s,4,5,34.26790237426758,6.853580474853516,2918.182703680512
blake2s,8,5,68.8486099243164,13.769721984863281,2904.9243001399027
blake2s,16,5,138.75484466552734,27.75096893310547,2882.78222619334
blake2s,32,5,296.2460517883301,59.249210357666016,2700.4579307325444
blake2s,64,5,560.3508949279785,112.0701789855957,2855.353697981774
blake2s,128,5,1163.2919311523438,232.65838623046875,2750.8142318412856
blake2s,200,5,1805.0248622894287,361.00497245788574,2770.0449475572204
blake2s,512,5,4561.391115188599,912.2782230377197,2806.1614706483597
blake2b,1,5,5.728483200073242,1.1456966400146484,4364.1569900528575
blake2b,2,5,11.908769607543945,2.381753921508789,4198.586558289455
blake2b,4,5,26.7794132232666,5.35588264465332,3734.2117680576207
blake2b,8,5,48.7368106842041,9.74736213684082,4103.674351937461
blake2b,16,5,95.72625160217285,19.14525032043457,4178.582084905543
blake2b,32,5,179.31747436523438,35.863494873046875,4461.361073882613
blake2b,64,5,389.43958282470703,77.8879165649414,4108.467835741765
blake2b,128,5,764.1820907592773,152.83641815185547,4187.48363602782
blake2b,200,5,1194.2439079284668,238.84878158569336,4186.749429329718
blake2b,512,5,3038.515567779541,607.7031135559082,4212.5833205303825
blake3,1,5,1.6713142395019531,0.3342628479003906,14958.288159771755
blake3,2,5,3.4546852111816406,0.6909370422363281,14473.098688750862
blake3,4,5,7.283687591552734,1.4567375183105469,13729.309328968904
blake3,8,5,14.446020126342773,2.8892040252685547,13844.643593933093
blake3,16,5,29.520034790039062,5.9040069580078125,13550.119532209084
blake3,32,5,59.134721755981445,11.826944351196289,13528.4309496067
blake3,64,5,119.60625648498535,23.92125129699707,13377.226635304436
blake3,128,5,251.9235610961914,50.38471221923828,12702.265663742945
blake3,200,5,377.02393531799316,75.40478706359863,13261.757495005859
blake3,512,5,940.5159950256348,188.10319900512695,13609.550574045392
