Algorithm,Data Size (MB),Timing (ms)
md5,1,1.3813972473144531
md5,1,1.3363361358642578
md5,1,1.3349056243896484
md5,1,1.3363361358642578
md5,1,1.338958740234375
md5,2,2.715587615966797
md5,2,2.629995346069336
md5,2,2.676248550415039
md5,2,2.656698226928711
md5,2,2.6998519897460938
md5,4,5.516290664672852
md5,4,5.527019500732422
md5,4,5.425691604614258
md5,4,5.431413650512695
md5,4,5.174160003662109
md5,8,10.54239273071289
md5,8,10.828971862792969
md5,8,10.82468032836914
md5,8,11.201143264770508
md5,8,10.872125625610352
md5,16,21.661996841430664
md5,16,22.089481353759766
md5,16,21.216630935668945
md5,16,22.070646286010742
md5,16,20.83587646484375
md5,32,42.37771034240723
md5,32,42.82331466674805
md5,32,42.65880584716797
md5,32,43.22648048400879
md5,32,43.1818962097168
md5,64,85.96014976501465
md5,64,86.64202690124512
md5,64,85.55436134338379
md5,64,87.00108528137207
md5,64,86.81321144104004
md5,128,172.25956916809082
md5,128,172.6670265197754
md5,128,171.15378379821777
md5,128,181.6701889038086
md5,128,175.44960975646973
md5,200,270.2372074127197
md5,200,270.9312438964844
md5,200,275.12431144714355
md5,200,269.4075107574463
md5,200,270.3237533569336
md5,512,696.6507434844971
md5,512,692.6534175872803
md5,512,687.300443649292
md5,512,689.568042755127
md5,512,690.0215148925781
sha1,1,0.5564689636230469
sha1,1,0.5364418029785156
sha1,1,0.5426406860351562
sha1,1,0.5526542663574219
sha1,1,0.5424022674560547
sha1,2,1.0819435119628906
sha1,2,1.079559326171875
sha1,2,1.1165142059326172
sha1,2,1.2507438659667969
sha1,2,1.1491775512695312
sha1,4,2.3589134216308594
sha1,4,2.4704933166503906
sha1,4,2.4154186248779297
sha1,4,2.3941993713378906
sha1,4,2.2547245025634766
sha1,8,4.734992980957031
sha1,8,4.620552062988281
sha1,8,5.099058151245117
sha1,8,4.9114227294921875
sha1,8,4.756450653076172
sha1,16,9.141206741333008
sha1,16,9.637594223022461
sha1,16,9.293794631958008
sha1,16,9.08350944519043
sha1,16,9.348869323730469
sha1,32,18.883466720581055
sha1,32,19.019365310668945
sha1,32,18.698930740356445
sha1,32,18.718719482421875
sha1,32,20.014524459838867
sha1,64,38.22040557861328
sha1,64,39.66546058654785
sha1,64,38.85388374328613
sha1,64,39.10636901855469
sha1,64,39.318084716796875
sha1,128,77.44026184082031
sha1,128,77.72612571716309
sha1,128,78.02987098693848
sha1,128,78.6280632019043
sha1,128,79.47421073913574
sha1,200,121.74606323242188
sha1,200,117.47121810913086
sha1,200,115.54956436157227
sha1,200,117.31386184692383
sha1,200,118.94059181213379
sha1,512,312.58082389831543
sha1,512,317.9187774658203
sha1,512,305.9537410736084
sha1,512,311.6466999053955
sha1,512,306.3623905181885
sha256,1,0.6115436553955078
sha256,1,0.5960464477539062
sha256,1,0.6155967712402344
sha256,1,0.6201267242431641
sha256,1,0.5931854248046875
sha256,2,1.2111663818359375
sha256,2,1.168966293334961
sha256,2,1.2028217315673828
sha256,2,1.1942386627197266
sha256,2,1.2972354888916016
sha256,4,2.584218978881836
sha256,4,2.4831295013427734
sha256,4,2.598285675048828
sha256,4,2.586841583251953
sha256,4,2.5370121002197266
sha256,8,5.196094512939453
sha256,8,5.196571350097656
sha256,8,5.378961563110352
sha256,8,5.440711975097656
sha256,8,5.2814483642578125
sha256,16,10.216474533081055
sha256,16,10.363340377807617
sha256,16,10.291576385498047
sha256,16,10.318756103515625
sha256,16,10.955095291137695
sha256,32,21.063566207885742
sha256,32,21.602630615234375
sha256,32,20.009756088256836
sha256,32,20.12777328491211
sha256,32,19.899845123291016
sha256,64,41.83030128479004
sha256,64,40.0395393371582
sha256,64,41.3203239440918
sha256,64,42.73104667663574
sha256,64,41.43095016479492
sha256,128,82.44729042053223
sha256,128,81.53486251831055
sha256,128,82.88860321044922
sha256,128,84.00297164916992
sha256,128,82.29255676269531
sha256,200,130.5549144744873
sha256,200,131.44993782043457
sha256,200,129.72569465637207
sha256,200,129.6091079711914
sha256,200,130.48315048217773
sha256,512,331.4077854156494
sha256,512,331.06422424316406
sha256,512,342.8041934967041
sha256,512,333.2812786102295
sha256,512,335.7977867126465
sha512,1,1.3208389282226562
sha512,1,1.3897418975830078
sha512,1,1.4545917510986328
sha512,1,1.4011859893798828
sha512,1,1.4295578002929688
sha512,2,2.859354019165039
