Algorithm,Data Size (MB),CPU (%),Peak Memory (MB)
md5,1,12.9,123.929688
md5,2,13.3,123.929688
md5,4,13.3,123.929688
md5,8,12.8,123.929688
md5,16,14.1,123.929688
md5,32,13.0,123.929688
md5,64,15.2,123.929688
md5,128,13.7,123.929688
md5,200,13.4,123.929688
md5,512,16.3,123.929688
sha1,1,13.1,124.054688
sha1,2,15.8,124.054688
sha1,4,14.0,124.054688
sha1,8,13.4,124.054688
sha1,16,14.4,124.054688
sha1,32,12.7,124.054688
sha1,64,18.1,124.054688
sha1,128,13.5,124.054688
sha1,200,14.3,124.054688
sha1,512,18.7,124.054688
sha256,1,13.5,124.054688
sha256,2,16.7,124.054688
sha256,4,19.9,124.054688
sha256,8,23.7,124.054688
sha256,16,14.9,124.054688
sha256,32,15.2,124.054688
sha256,64,15.6,124.054688
sha256,128,15.7,124.054688
sha256,200,16.2,124.054688
sha256,512,13.6,124.054688
sha512,1,15.9,124.054688
sha512,2,14.3,124.054688
sha512,4,15.1,124.054688
sha512,8,19.3,124.054688
sha512,16,12.2,124.054688
sha512,32,15.7,124.054688
sha512,64,11.7,124.054688
sha512,128,15.4,124.054688
sha512,200,14.1,124.054688
sha512,512,13.0,124.054688
sha3_256,1,15.8,124.054688
sha3_256,2,12.6,124.054688
sha3_256,4,15.5,124.054688
sha3_256,8,14.6,124.054688
sha3_256,16,14.7,124.054688
sha3_256,32,15.4,124.054688
sha3_256,64,13.3,124.054688
sha3_256,128,15.8,124.054688
sha3_256,200,13.8,124.054688
sha3_256,512,13.4,124.054688
blake2s,1,17.1,124.054688
blake2s,2,11.1,124.054688
blake2s,4,14.3,124.054688
blake2s,8,16.0,124.054688
blake2s,16,22.8,124.054688
blake2s,32,18.6,124.054688
blake2s,64,17.5,124.054688
blake2s,128,15.2,124.054688
blake2s,200,12.4,124.054688
blake2s,512,14.1,124.054688
blake2b,1,14.9,124.054688
blake2b,2,12.6,124.054688
blake2b,4,15.9,124.054688
blake2b,8,12.4,124.054688
blake2b,16,15.4,124.054688
blake2b,32,14.0,124.054688
blake2b,64,14.0,124.054688
blake2b,128,13.4,124.054688
blake2b,200,12.2,124.054688
blake2b,512,14.0,124.054688
blake3,1,14.6,124.179688
blake3,2,12.6,124.179688
blake3,4,14.2,124.179688
blake3,8,11.9,124.179688
blake3,16,14.0,124.179688
blake3,32,12.7,124.179688
blake3,64,16.5,124.179688
blake3,128,15.3,124.179688
blake3,200,13.8,124.179688
blake3,512,15.0,124.179688
