Algorithm,Data Size (MB),Total Time (ms),Avg Time (ms),Speed (MBps)
blake3,1,11.759281158447266,2.351856231689453,85.03921171079843
blake3,2,19.112348556518555,3.822469711303711,104.64438706136248
blake3,4,38.753509521484375,7.750701904296875,103.21645831282606
blake2s,1,21.60954475402832,4.321908950805664,46.27584761190242
blake3,8,73.05788993835449,14.611577987670898,109.50220444020925
blake2s,2,40.69972038269043,8.139944076538086,49.14038674453889
blake3,16,145.60651779174805,29.12130355834961,109.88519087369293
blake2s,4,85.83402633666992,17.166805267333984,46.60156549467521
blake2s,8,170.64142227172852,34.1282844543457,46.881934605894465
blake3,32,272.19581604003906,54.43916320800781,117.56242423393059
blake2s,16,342.77820587158203,68.5556411743164,46.677413341717
blake3,64,487.48087882995605,97.49617576599121,131.28720074849252
blake2s,32,665.0717258453369,133.01434516906738,48.115111132301585
blake2b,1,16.197681427001953,3.2395362854003906,61.73723100473961
blake2b,2,28.505563735961914,5.701112747192383,70.16174170507105
blake3,128,877.9714107513428,175.59428215026855,145.79062419636338
blake2b,4,56.90193176269531,11.380386352539062,70.29638319981228
blake2b,8,118.81756782531738,23.763513565063477,67.33011074390447
blake2b,16,227.7662754058838,45.55325508117676,70.24744981006384
blake3,200,1294.7843074798584,258.9568614959717,154.4658819578034
blake2b,32,445.1889991760254,89.03779983520508,71.87958386039851
blake2s,64,1308.2282543182373,261.64565086364746,48.92112656086349
blake2b,64,879.3039321899414,175.86078643798828,72.78484453106613
sha256,1,7.8907012939453125,1.5781402587890625,126.73144790911289
sha256,2,13.246297836303711,2.649259567260742,150.98558289386057
sha256,4,26.021480560302734,5.204296112060547,153.71915486247275
sha256,8,52.98256874084473,10.596513748168945,150.99305658679268
sha256,16,107.4833869934082,21.49667739868164,148.8602140997032
sha256,32,217.93460845947266,43.58692169189453,146.83303503835535
blake2s,128,2506.078004837036,501.2156009674072,51.07582435700102
sha256,64,444.1359043121338,88.82718086242676,144.10003644970237
blake2b,128,1961.205005645752,392.2410011291504,65.2659969924227
blake3,512,3188.154935836792,637.6309871673584,160.59445362733473
sha256,128,1012.2296810150146,202.44593620300293,126.4535138622371
sha256,200,1423.8529205322266,284.7705841064453,140.4639461814928
blake2s,200,3871.9916343688965,774.3983268737793,51.653004160634865
blake2b,200,3063.2412433624268,612.6482486724854,65.29031966821721
sha256,512,2658.8730812072754,531.7746162414551,192.56278293942623
blake2b,512,5718.524932861328,1143.7049865722656,89.53357832853149
blake2s,512,8508.538722991943,1701.7077445983887,60.17484513721062
