Algorithm,Data Size (MB),Timing (ms)
blake3,1,1.9505023956298828
blake3,1,1.9543170928955078
blake3,1,3.9501190185546875
blake3,1,0.9753704071044922
blake3,1,2.9289722442626953
blake3,2,3.9136409759521484
blake3,2,4.882574081420898
blake3,2,3.4809112548828125
blake3,2,3.9055347442626953
blake3,2,2.9296875
blake3,4,7.854223251342773
blake3,4,8.363485336303711
blake3,4,7.841825485229492
blake3,4,6.844043731689453
blake3,4,7.849931716918945
blake2s,1,4.454135894775391
blake2s,1,3.8971900939941406
blake2s,1,3.940582275390625
blake2s,1,4.8828125
blake2s,1,4.434823989868164
blake3,8,14.250755310058594
blake3,8,15.696525573730469
blake3,8,15.195131301879883
blake3,8,14.206409454345703
blake3,8,13.709068298339844
blake2s,2,7.848262786865234
blake2s,2,6.874561309814453
blake2s,2,8.353471755981445
blake2s,2,7.810354232788086
blake2s,2,9.813070297241211
blake3,16,29.907703399658203
blake3,16,26.93963050842285
blake3,16,29.920578002929688
blake3,16,29.9074649810791
blake3,16,28.931140899658203
blake2s,4,19.616365432739258
blake2s,4,17.174243927001953
blake2s,4,15.18559455871582
blake2s,4,16.67642593383789
blake2s,4,17.181396484375
blake2s,8,34.79290008544922
blake2s,8,33.86092185974121
blake2s,8,32.363176345825195
blake2s,8,33.81800651550293
blake2s,8,35.80641746520996
blake3,32,57.874202728271484
blake3,32,55.90486526489258
blake3,32,53.93028259277344
blake3,32,51.9716739654541
blake3,32,52.51479148864746
blake2s,16,65.24443626403809
blake2s,16,71.11907005310059
blake2s,16,66.64848327636719
blake2s,16,68.18485260009766
blake2s,16,71.58136367797852
blake3,64,109.36403274536133
blake3,64,101.0282039642334
blake3,64,96.12417221069336
blake3,64,90.72232246398926
blake3,64,90.24214744567871
blake2s,32,131.9108009338379
blake2s,32,133.43286514282227
blake2s,32,132.88259506225586
blake2s,32,138.78726959228516
blake2s,32,128.05819511413574
blake2b,1,3.526449203491211
blake2b,1,2.870798110961914
blake2b,1,2.928495407104492
blake2b,1,3.935098648071289
blake2b,1,2.936840057373047
blake2b,2,5.443572998046875
blake2b,2,5.84864616394043
blake2b,2,5.897045135498047
blake2b,2,5.4492950439453125
blake2b,2,5.86700439453125
blake3,128,195.6350803375244
blake3,128,184.4315528869629
blake3,128,162.80317306518555
blake3,128,161.83137893676758
blake3,128,173.27022552490234
blake2b,4,11.788129806518555
blake2b,4,11.294364929199219
blake2b,4,11.755228042602539
blake2b,4,11.283636093139648
blake2b,4,10.780572891235352
blake2b,8,22.600889205932617
blake2b,8,25.533676147460938
blake2b,8,23.50783348083496
blake2b,8,23.57769012451172
blake2b,8,23.59747886657715
