Algorithm,Data Size (MB),Iterations,Total Time (ms),Avg Time (ms),Speed (MBps)
md5,1,5,6.839990615844727,1.3679981231689453,3654.9757746871624
md5,2,5,15.672683715820312,3.1345367431640625,3190.264086649629
md5,4,5,30.00020980834961,6.000041961669922,3333.310021457522
md5,8,5,58.42232704162598,11.684465408325195,3423.348745720104
md5,16,5,119.38190460205078,23.876380920410156,3350.5915434450917
md5,32,5,240.74435234069824,48.14887046813965,3323.027070923145
md5,64,5,490.0093078613281,98.00186157226562,3265.244097062739
md5,128,5,987.6458644866943,197.52917289733887,3240.02774178893
md5,200,5,1565.7627582550049,313.152551651001,3193.331795407082
md5,512,5,3921.948194503784,784.3896389007568,3263.684109325542
sha1,1,5,3.400564193725586,0.6801128387451172,7351.721236766459
sha1,2,5,6.763935089111328,1.3527870178222656,7392.146633768065
sha1,4,5,13.286828994750977,2.6573657989501953,7526.25024672971
sha1,8,5,29.268741607666016,5.853748321533203,6833.228523484466
sha1,16,5,55.97352981567383,11.194705963134766,7146.235038548367
sha1,32,5,112.51282691955566,22.502565383911133,7110.300415542695
sha1,64,5,220.8881378173828,44.17762756347656,7243.485394054002
sha1,128,5,454.7131061553955,90.9426212310791,7037.404369220928
sha1,200,5,720.1988697052002,144.03977394104004,6942.526863512929
sha1,512,5,1860.1806163787842,372.03612327575684,6881.05224153866
sha256,1,5,4.882574081420898,0.9765148162841797,5120.250012207627
sha256,2,5,9.319305419921875,1.863861083984375,5365.206713057716
sha256,4,5,19.6075439453125,3.9215087890625,5100.077821011673
sha256,8,5,35.81738471984863,7.163476943969727,5583.880608937023
sha256,16,5,71.06232643127441,14.212465286254883,5628.861593587803
sha256,32,5,125.62298774719238,25.124597549438477,6368.2612103602005
sha256,64,5,250.075101852417,50.0150203704834,6398.077969970188
sha256,128,5,524.2664813995361,104.85329627990723,6103.766144762028
sha256,200,5,849.1120338439941,169.82240676879883,5888.504461966724
sha256,512,5,2242.063522338867,448.41270446777344,5709.026471581566
sha512,1,5,7.850170135498047,1.5700340270996094,3184.6443540059527
sha512,2,5,17.72785186767578,3.5455703735351562,2820.4206788961214
sha512,4,5,29.960155487060547,5.992031097412109,3337.766389202782
sha512,8,5,69.72932815551758,13.945865631103516,2868.233572449447
sha512,16,5,133.03446769714355,26.60689353942871,3006.7395835386847
sha512,32,5,264.1873359680176,52.837467193603516,3028.1542340729297
sha512,64,5,507.1520805358887,101.43041610717773,3154.872199891874
sha512,128,5,989.6526336669922,197.93052673339844,3233.457772090128
sha512,200,5,1634.1495513916016,326.8299102783203,3059.6954824251693
sha512,512,5,4085.1428508758545,817.0285701751709,3133.3053621994345
sha3_256,1,5,10.78033447265625,2.15606689453125,2319.037508846426
sha3_256,2,5,23.13828468322754,4.627656936645508,2160.9207719811643
sha3_256,4,5,47.61648178100586,9.523296356201172,2100.1131595549723
sha3_256,8,5,88.88626098632812,17.777252197265625,2250.0665207501825
sha3_256,16,5,174.43323135375977,34.88664627075195,2293.141031073253
sha3_256,32,5,411.7696285247803,82.35392570495605,1942.8339162995262
sha3_256,64,5,719.2130088806152,143.84260177612305,2224.653865049304
sha3_256,128,5,1423.609733581543,284.7219467163086,2247.8070530955015
sha3_256,200,5,2398.888349533081,479.7776699066162,2084.298754868353
sha3_256,512,5,5502.184152603149,1100.4368305206299,2326.348890729905
blake2s,1,5,11.260747909545898,2.2521495819091797,2220.1012047172408
blake2s,2,5,21.3015079498291,4.26030158996582,2347.25166489451
blake2s,4,5,45.694828033447266,9.138965606689453,2188.431476901564
blake2s,8,5,93.97339820861816,18.794679641723633,2128.2618678533463
blake2s,16,5,194.02503967285156,38.80500793457031,2061.589579749324
blake2s,32,5,367.8297996520996,73.56595993041992,2174.9189455467044
blake2s,64,5,735.4030609130859,147.0806121826172,2175.677645417221
blake2s,128,5,1544.0762042999268,308.81524085998535,2072.4365747549728
blake2s,200,5,2411.9083881378174,482.3816776275635,2073.0472287383986
blake2s,512,5,6028.722286224365,1205.744457244873,2123.1696190829703
blake2b,1,5,7.857084274291992,1.5714168548583984,3181.841905628888
blake2b,2,5,14.696121215820312,2.9392242431640625,3402.2582738481506
blake2b,4,5,29.97136116027832,5.994272232055664,3336.5184672537366
blake2b,8,5,61.93280220031738,12.386560440063477,3229.3064885569647
blake2b,16,5,121.28782272338867,24.257564544677734,3297.94031270763
blake2b,32,5,244.0204620361328,48.80409240722656,3278.4135941908908
blake2b,64,5,497.71714210510254,99.54342842102051,3214.677302921042
blake2b,128,5,1030.3125381469727,206.06250762939453,3105.8536914975643
blake2b,200,5,1600.1577377319336,320.0315475463867,3124.691948861872
blake2b,512,5,4138.902187347412,827.7804374694824,3092.60751296068
blake3,1,5,2.006053924560547,0.4012107849121094,12462.277157119088
blake3,2,5,3.910541534423828,0.7821083068847656,12785.952932569198
blake3,4,5,8.354663848876953,1.6709327697753906,11969.362479310541
blake3,8,5,18.67079734802246,3.734159469604492,10711.91531202513
blake3,16,5,36.846160888671875,7.369232177734375,10855.947820685371
blake3,32,5,74.22566413879395,14.845132827758789,10777.943306833695
blake3,64,5,154.85334396362305,30.97066879272461,10332.356790279322
blake3,128,5,302.08516120910645,60.41703224182129,10593.039350863472
blake3,200,5,466.9325351715088,93.38650703430176,10708.185066100506
blake3,512,5,1220.8027839660645,244.1605567932129,10484.904005883895
