Algorithm,Data Size (MB),Timing (ms)
md5,1,0.980377197265625
md5,1,1.9605159759521484
md5,1,0.9708404541015625
md5,1,1.9581317901611328
md5,1,0.9701251983642578
md5,2,2.9320716857910156
md5,2,2.927064895629883
md5,2,3.9467811584472656
md5,2,2.93731689453125
md5,2,2.9294490814208984
md5,4,5.889892578125
md5,4,6.849527359008789
md5,4,5.425214767456055
md5,4,5.893945693969727
md5,4,5.941629409790039
md5,8,11.276960372924805
md5,8,11.786699295043945
md5,8,11.336565017700195
md5,8,12.740612030029297
md5,8,11.281490325927734
md5,16,23.028135299682617
md5,16,24.067163467407227
md5,16,24.035215377807617
md5,16,23.62227439880371
md5,16,24.62911605834961
md5,32,48.1257438659668
md5,32,48.67196083068848
md5,32,47.301292419433594
md5,32,47.54209518432617
md5,32,49.1032600402832
md5,64,98.9389419555664
md5,64,96.41170501708984
md5,64,94.8026180267334
md5,64,98.72555732727051
md5,64,101.13048553466797
md5,128,199.87225532531738
md5,128,199.86677169799805
md5,128,197.07250595092773
md5,128,194.0927505493164
md5,128,196.74158096313477
md5,200,308.8376522064209
md5,200,313.800573348999
md5,200,307.16633796691895
md5,200,332.84950256347656
md5,200,303.10869216918945
md5,512,786.813497543335
md5,512,783.2977771759033
md5,512,790.1194095611572
md5,512,778.7392139434814
md5,512,782.9782962799072
sha1,1,1.1048316955566406
sha1,1,0.5962848663330078
sha1,1,0.5614757537841797
sha1,1,0.507354736328125
sha1,1,0.6306171417236328
sha1,2,1.8608570098876953
sha1,2,0.5290508270263672
sha1,2,1.6684532165527344
sha1,2,1.1248588562011719
sha1,2,1.5807151794433594
sha1,4,2.6404857635498047
sha1,4,2.8791427612304688
sha1,4,2.3505687713623047
sha1,4,2.7201175689697266
sha1,4,2.696514129638672
sha1,8,5.8956146240234375
sha1,8,5.863189697265625
sha1,8,6.211042404174805
sha1,8,6.019353866577148
sha1,8,5.279541015625
sha1,16,11.768579483032227
sha1,16,11.358261108398438
sha1,16,10.75291633605957
sha1,16,10.796546936035156
sha1,16,11.297225952148438
sha1,32,21.149635314941406
sha1,32,22.180795669555664
sha1,32,23.051977157592773
sha1,32,23.041963577270508
sha1,32,23.088455200195312
sha1,64,44.17729377746582
