Algorithm,Data Size (MB),Average_CPU_Usage,Peak_Memory
blake2b,1,0.8,107.941406
blake2b,2,0.9,107.949219
blake2b,4,0.6,107.949219
blake2b,8,2.4,107.949219
blake2b,16,1.0,107.953125
blake2b,32,0.5,107.953125
blake2b,64,0.6,107.957031
blake2b,128,0.7,107.957031
blake2b,200,0.4,107.960938
blake2b,512,0.9,107.960938
blake2s,1,0.9,107.902344
blake2s,2,0.4,107.910156
blake2s,4,1.5,107.910156
blake2s,8,1.0,107.917969
blake2s,16,0.4,107.917969
blake2s,32,0.6,107.921875
blake2s,64,0.6,107.921875
blake2s,128,0.5,107.925781
blake2s,200,0.7,107.929688
blake2s,512,1.3,107.933594
blake3,1,0.6,108.035156
blake3,2,0.7,108.078125
blake3,4,0.9,108.082031
blake3,8,0.9,108.082031
blake3,16,0.9,108.085938
blake3,32,0.6,108.085938
blake3,64,0.5,108.085938
blake3,128,0.8,108.089844
blake3,200,0.7,108.089844
blake3,512,1.1,108.09375
md5,1,1.2,107.773438
md5,2,1.7,107.785156
md5,4,0.7,107.785156
md5,8,1.0,107.789062
md5,16,0.7,107.789062
md5,32,0.4,107.789062
md5,64,0.6,107.824219
md5,128,0.5,107.828125
md5,200,0.9,107.828125
md5,512,0.5,107.832031
sha1,1,0.5,107.84375
sha1,2,0.5,107.84375
sha1,4,0.9,107.847656
sha1,8,0.5,107.792969
sha1,16,0.6,107.796875
sha1,32,0.5,107.796875
sha1,64,2.8,107.800781
sha1,128,0.6,107.800781
sha1,200,0.5,107.804688
sha1,512,0.3,107.808594
sha256,1,0.5,107.820312
sha256,2,0.3,107.820312
sha256,4,0.8,107.824219
sha256,8,1.2,107.828125
sha256,16,1.0,107.828125
sha256,32,0.6,107.835938
sha256,64,0.6,107.835938
sha256,128,0.9,107.839844
sha256,200,0.9,107.839844
sha256,512,0.5,107.84375
sha3_256,1,1.5,107.863281
sha3_256,2,0.5,107.863281
sha3_256,4,0.5,107.867188
sha3_256,8,1.4,107.867188
sha3_256,16,1.0,107.871094
sha3_256,32,1.3,107.878906
sha3_256,64,0.9,107.882812
sha3_256,128,1.5,107.882812
sha3_256,200,0.8,107.886719
sha3_256,512,2.3,107.886719
sha512,1,0.5,107.863281
sha512,2,0.5,107.835938
sha512,4,0.3,107.839844
sha512,8,0.7,107.84375
sha512,16,1.0,107.84375
sha512,32,0.5,107.847656
sha512,64,0.4,107.847656
sha512,128,3.3,107.851562
sha512,200,1.0,107.855469
sha512,512,1.1,107.855469
