Algorithm,Data Size (MB),Total Time (ms),Avg Time (ms),Speed (MBps)
blake3,1,9.810209274291992,1.9620418548583984,101.93462463849126
blake3,2,25.354623794555664,5.070924758911133,78.88107574404063
blake3,4,51.2545108795166,10.25090217590332,78.04191146029575
blake2s,1,28.144121170043945,5.628824234008789,35.53139904273794
blake3,8,112.89477348327637,22.578954696655273,70.86244786332006
blake2s,2,43.895721435546875,8.779144287109375,45.56252715738246
blake2s,4,83.72163772583008,16.744327545166016,47.77737402962803
blake3,16,209.15651321411133,41.831302642822266,76.49773728834812
blake2s,8,178.73620986938477,35.74724197387695,44.758697780635316
blake3,32,424.69334602355957,84.93866920471191,75.3484844997426
blake2s,16,359.9107265472412,71.98214530944824,44.45546859215342
blake3,64,807.3461055755615,161.4692211151123,79.27207372155966
blake2s,32,697.9131698608398,139.58263397216797,45.85097599803229
blake2b,1,15.905141830444336,3.181028366088867,62.872749621501704
blake2b,2,32.44304656982422,6.488609313964844,61.6464916664217
blake2b,4,57.18374252319336,11.436748504638672,69.94995121869867
blake2b,8,113.68107795715332,22.736215591430664,70.37230947981703
blake2b,16,224.06625747680664,44.81325149536133,71.40744965428888
blake3,128,1407.7033996582031,281.5406799316406,90.9282452760141
blake2s,64,1223.4959602355957,244.69919204711914,52.30912244914662
blake2b,32,437.8929138183594,87.57858276367188,73.07722730876114
blake3,200,2118.0453300476074,423.6090660095215,94.42668537953557
blake2b,64,945.9540843963623,189.19081687927246,67.65656077360251
sha256,1,8.403539657592773,1.6807079315185547,118.99747496240815
sha256,2,16.184091567993164,3.236818313598633,123.57814410512515
sha256,4,37.984371185302734,7.596874237060547,105.30646882335957
sha256,8,75.83093643188477,15.166187286376953,105.49784001660075
sha256,16,140.39015769958496,28.078031539916992,113.96810333554673
blake2s,128,2492.02036857605,498.40407371520996,51.36394614348185
sha256,32,318.02940368652344,63.60588073730469,100.61962708184647
blake2b,128,1912.2562408447266,382.4512481689453,66.9366360354807
sha256,64,635.2372169494629,127.04744338989258,100.74976448536957
sha256,128,1322.7193355560303,264.54386711120605,96.77034013129683
blake2s,200,3881.650924682617,776.3301849365234,51.52446829472513
blake2b,200,2903.8548469543457,580.7709693908691,68.87396600066505
sha256,200,1540.3156280517578,308.06312561035156,129.8435180151789
blake3,512,4977.747201919556,995.5494403839111,102.85777465809409
sha256,512,1954.6594619750977,390.93189239501953,261.938209678041
blake2b,512,4282.22393989563,856.444787979126,119.56404129870866
blake2s,512,6526.310682296753,1305.2621364593506,78.45167429568582
