Algorithm,Data Size (MB),Timing (ms)
blake3,1,1.0368824005126953
blake3,1,1.2879371643066406
blake3,1,1.7781257629394531
blake3,1,1.8162727355957031
blake3,1,3.8909912109375
blake3,2,4.621982574462891
blake3,2,3.7429332733154297
blake3,2,6.18290901184082
blake3,2,4.788875579833984
blake3,2,6.017923355102539
blake3,4,7.82322883605957
blake3,4,9.209156036376953
blake3,4,9.400129318237305
blake3,4,12.449026107788086
blake3,4,12.372970581054688
blake2s,1,5.346059799194336
blake2s,1,6.888866424560547
blake2s,1,4.385948181152344
blake2s,1,6.237268447875977
blake2s,1,5.285978317260742
blake3,8,17.194032669067383
blake3,8,21.99387550354004
blake3,8,29.62017059326172
blake3,8,23.044824600219727
blake3,8,21.0418701171875
blake2s,2,8.913993835449219
blake2s,2,8.571863174438477
blake2s,2,9.963035583496094
blake2s,2,8.32676887512207
blake2s,2,8.120059967041016
blake2s,4,17.10677146911621
blake2s,4,17.369985580444336
blake2s,4,17.16470718383789
blake2s,4,16.045093536376953
blake2s,4,16.035079956054688
blake3,16,52.07180976867676
blake3,16,41.01896286010742
blake3,16,39.96586799621582
blake3,16,40.64488410949707
blake3,16,35.45498847961426
blake2s,8,32.57894515991211
blake2s,8,29.558181762695312
blake2s,8,39.06702995300293
blake2s,8,35.89224815368652
blake2s,8,41.63980484008789
blake3,32,83.90402793884277
blake3,32,82.4131965637207
blake3,32,94.26307678222656
blake3,32,86.2739086151123
blake3,32,77.83913612365723
blake2s,16,67.56305694580078
blake2s,16,77.48198509216309
blake2s,16,66.95294380187988
blake2s,16,79.08797264099121
blake2s,16,68.82476806640625
blake3,64,181.5202236175537
blake3,64,158.87188911437988
blake3,64,155.61819076538086
blake3,64,130.5220127105713
blake3,64,180.81378936767578
blake2s,32,145.65229415893555
blake2s,32,135.32304763793945
blake2s,32,117.78783798217773
blake2s,32,152.41599082946777
blake2s,32,146.73399925231934
blake2b,1,2.296924591064453
blake2b,1,4.066228866577148
blake2b,1,4.312038421630859
blake2b,1,2.507925033569336
blake2b,1,2.722024917602539
blake2b,2,7.425069808959961
blake2b,2,6.815910339355469
blake2b,2,5.594968795776367
blake2b,2,7.183074951171875
blake2b,2,5.424022674560547
blake2b,4,12.882232666015625
blake2b,4,9.74726676940918
blake2b,4,11.229276657104492
blake2b,4,11.894941329956055
blake2b,4,11.430025100708008
blake2b,8,19.042015075683594
blake2b,8,26.612043380737305
blake2b,8,21.533966064453125
blake2b,8,21.35610580444336
blake2b,8,25.136947631835938
blake2b,16,47.87611961364746
blake2b,16,44.341087341308594
blake2b,16,43.76697540283203
blake2b,16,44.37518119812012
blake2b,16,43.70689392089844
blake3,128,314.82577323913574
blake3,128,320.4038143157959
blake3,128,257.28368759155273
blake3,128,260.5481147766113
blake3,128,254.64200973510742
blake2s,64,267.6260471343994
blake2s,64,246.37389183044434
blake2s,64,234.97796058654785
blake2s,64,236.3569736480713
blake2s,64,238.1610870361328
blake2b,32,86.5640640258789
blake2b,32,84.75089073181152
blake2b,32,87.83793449401855
blake2b,32,94.78092193603516
blake2b,32,83.95910263061523
blake3,200,492.1140670776367
blake3,200,388.66615295410156
blake3,200,393.8009738922119
blake3,200,419.0189838409424
blake3,200,424.44515228271484
blake2b,64,187.73508071899414
blake2b,64,182.4491024017334
blake2b,64,181.92195892333984
blake2b,64,200.8340358734131
blake2b,64,193.01390647888184
sha256,1,2.135038375854492
sha256,1,0.9298324584960938
sha256,1,2.123594284057617
sha256,1,2.131223678588867
sha256,1,1.0838508605957031
sha256,2,2.9070377349853516
sha256,2,3.4291744232177734
sha256,2,2.574920654296875
sha256,2,3.801107406616211
sha256,2,3.471851348876953
sha256,4,8.573770523071289
sha256,4,7.957935333251953
sha256,4,7.1258544921875
sha256,4,7.587671279907227
sha256,4,6.739139556884766
sha256,8,12.424945831298828
sha256,8,18.423080444335938
sha256,8,13.075828552246094
sha256,8,14.79792594909668
sha256,8,17.109155654907227
sha256,16,27.724027633666992
sha256,16,28.02109718322754
sha256,16,25.712013244628906
sha256,16,28.515100479125977
sha256,16,30.417919158935547
blake2s,128,481.13083839416504
blake2s,128,478.69372367858887
blake2s,128,510.1327896118164
blake2s,128,533.5049629211426
blake2s,128,488.5580539703369
sha256,32,65.67025184631348
sha256,32,62.50715255737305
sha256,32,59.42988395690918
sha256,32,60.23597717285156
sha256,32,70.18613815307617
blake2b,128,370.2881336212158
blake2b,128,410.0222587585449
blake2b,128,361.7899417877197
blake2b,128,378.68285179138184
blake2b,128,391.47305488586426
sha256,64,121.35100364685059
sha256,64,125.9756088256836
sha256,64,130.4309368133545
sha256,64,123.6567497253418
sha256,64,133.82291793823242
sha256,128,257.5418949127197
sha256,128,253.82614135742188
sha256,128,279.7980308532715
sha256,128,265.3350830078125
sha256,128,266.2181854248047
blake2s,200,752.5608539581299
blake2s,200,799.5810508728027
blake2s,200,776.9060134887695
