Algorithm,Data Size (MB),Timing (ms)
md5,1,2.602815628051758
md5,1,2.1219253540039062
md5,1,2.629995346069336
md5,1,2.0749568939208984
md5,1,2.173185348510742
md5,2,4.382848739624023
md5,2,4.395723342895508
md5,2,4.256010055541992
md5,2,4.103183746337891
md5,2,4.081964492797852
md5,4,8.74185562133789
md5,4,8.750200271606445
md5,4,8.929729461669922
md5,4,8.571147918701172
md5,4,8.47482681274414
md5,8,16.97683334350586
md5,8,16.227006912231445
md5,8,17.72475242614746
md5,8,16.17717742919922
md5,8,17.052173614501953
md5,16,33.25009346008301
md5,16,33.035993576049805
md5,16,33.24294090270996
md5,16,32.586097717285156
md5,16,33.25605392456055
md5,32,67.9621696472168
md5,32,67.11435317993164
md5,32,67.75403022766113
md5,32,69.15807723999023
md5,32,69.81205940246582
md5,64,200.4690170288086
md5,64,139.42980766296387
md5,64,132.12299346923828
md5,64,132.2343349456787
md5,64,137.00008392333984
md5,128,274.48296546936035
md5,128,266.9529914855957
md5,128,267.6119804382324
md5,128,267.3630714416504
md5,128,269.92177963256836
md5,200,415.5011177062988
md5,200,482.6817512512207
md5,200,467.8990840911865
md5,200,426.2268543243408
md5,200,415.7278537750244
md5,512,1154.7901630401611
md5,512,1132.6799392700195
md5,512,1206.6097259521484
md5,512,1147.101879119873
md5,512,1081.4580917358398
sha1,1,0.5278587341308594
sha1,1,0.4811286926269531
sha1,1,0.5049705505371094
sha1,1,0.5002021789550781
sha1,1,0.5097389221191406
sha1,2,1.1241436004638672
sha1,2,1.013040542602539
sha1,2,0.9939670562744141
sha1,2,0.9949207305908203
sha1,2,1.0731220245361328
sha1,4,2.4602413177490234
sha1,4,2.0668506622314453
sha1,4,2.338886260986328
sha1,4,2.198934555053711
sha1,4,2.4318695068359375
sha1,8,4.519939422607422
sha1,8,4.2781829833984375
sha1,8,4.256963729858398
sha1,8,4.42814826965332
sha1,8,4.540920257568359
sha1,16,8.474111557006836
sha1,16,8.766889572143555
sha1,16,9.289026260375977
sha1,16,8.292913436889648
sha1,16,8.734941482543945
sha1,32,17.2269344329834
sha1,32,19.53291893005371
sha1,32,17.57526397705078
sha1,32,17.663002014160156
sha1,32,17.728567123413086
sha1,64,35.791873931884766
sha1,64,34.281015396118164
sha1,64,34.661054611206055
sha1,64,35.48002243041992
sha1,64,35.65621376037598
sha1,128,74.37491416931152
sha1,128,68.56489181518555
sha1,128,70.12701034545898
sha1,128,79.4973373413086
sha1,128,74.4161605834961
sha1,200,107.63907432556152
sha1,200,135.7879638671875
sha1,200,120.46003341674805
sha1,200,119.11392211914062
sha1,200,108.01315307617188
sha1,512,319.1108703613281
sha1,512,289.4730567932129
sha1,512,274.55592155456543
sha1,512,278.92112731933594
sha1,512,277.13799476623535
sha256,1,0.5247592926025391
sha256,1,0.5102157592773438
sha256,1,0.5056858062744141
sha256,1,0.5061626434326172
sha256,1,0.49805641174316406
sha256,2,1.0881423950195312
sha256,2,0.9961128234863281
sha256,2,1.1608600616455078
sha256,2,1.2450218200683594
sha256,2,1.1098384857177734
sha256,4,2.2351741790771484
sha256,4,1.9917488098144531
sha256,4,2.026081085205078
sha256,4,2.1359920501708984
sha256,4,2.441883087158203
sha256,8,3.9768218994140625
sha256,8,4.17017936706543
sha256,8,4.132986068725586
sha256,8,4.594087600708008
sha256,8,4.774808883666992
sha256,16,8.650064468383789
sha256,16,9.88912582397461
sha256,16,12.579917907714844
sha256,16,11.705160140991211
sha256,16,9.905099868774414
sha256,32,16.695022583007812
sha256,32,17.24410057067871
sha256,32,17.576932907104492
sha256,32,16.710758209228516
sha256,32,16.52216911315918
sha256,64,33.99801254272461
sha256,64,35.9339714050293
sha256,64,33.51283073425293
sha256,64,34.243106842041016
sha256,64,36.42868995666504
sha256,128,69.98300552368164
sha256,128,68.32599639892578
sha256,128,68.01295280456543
sha256,128,69.78583335876465
sha256,128,69.29612159729004
sha256,200,108.72292518615723
sha256,200,107.24306106567383
sha256,200,106.98604583740234
sha256,200,106.19306564331055
sha256,200,104.61902618408203
sha256,512,275.57992935180664
sha256,512,274.69706535339355
sha256,512,274.20902252197266
sha256,512,274.12986755371094
sha256,512,274.13487434387207
sha512,1,0.8137226104736328
sha512,1,0.8082389831542969
sha512,1,0.8218288421630859
sha512,1,0.8101463317871094
sha512,1,0.7731914520263672
sha512,2,1.7409324645996094
sha512,2,1.608133316040039
sha512,2,1.5821456909179688
sha512,2,1.6407966613769531
sha512,2,1.6021728515625
sha512,4,3.5829544067382812
sha512,4,3.693819046020508
sha512,4,3.656148910522461
sha512,4,3.3371448516845703
sha512,4,3.201007843017578
sha512,8,6.557941436767578
sha512,8,6.669044494628906
sha512,8,7.289886474609375
sha512,8,6.474971771240234
sha512,8,6.650209426879883
sha512,16,14.037132263183594
sha512,16,14.735937118530273
sha512,16,14.122962951660156
sha512,16,13.200998306274414
sha512,16,13.286113739013672
sha512,32,27.42290496826172
sha512,32,27.07076072692871
sha512,32,27.031898498535156
sha512,32,26.482105255126953
sha512,32,27.232646942138672
sha512,64,53.73787879943848
sha512,64,54.656028747558594
sha512,64,53.930044174194336
sha512,64,55.522918701171875
sha512,64,55.40800094604492
sha512,128,107.5899600982666
sha512,128,109.2231273651123
sha512,128,108.77680778503418
sha512,128,109.23600196838379
sha512,128,107.85698890686035
sha512,200,175.04096031188965
sha512,200,172.53494262695312
sha512,200,168.65897178649902
sha512,200,169.20208930969238
sha512,200,175.368070602417
sha512,512,432.7349662780762
sha512,512,432.3577880859375
sha512,512,431.48016929626465
sha512,512,436.37776374816895
sha512,512,437.32380867004395
sha3_256,1,1.7421245574951172
sha3_256,1,1.7778873443603516
sha3_256,1,1.7230510711669922
sha3_256,1,1.7330646514892578
sha3_256,1,1.7218589782714844
sha3_256,2,3.8299560546875
sha3_256,2,3.412008285522461
sha3_256,2,3.3931732177734375
sha3_256,2,3.325939178466797
sha3_256,2,3.4589767456054688
sha3_256,4,6.87408447265625
sha3_256,4,7.44175910949707
sha3_256,4,6.96873664855957
sha3_256,4,6.845235824584961
sha3_256,4,7.133007049560547
sha3_256,8,13.768196105957031
sha3_256,8,13.826131820678711
sha3_256,8,14.566183090209961
sha3_256,8,13.823986053466797
sha3_256,8,14.59813117980957
sha3_256,16,28.51104736328125
sha3_256,16,29.423952102661133
sha3_256,16,28.002023696899414
sha3_256,16,28.311967849731445
sha3_256,16,28.573989868164062
sha3_256,32,55.74822425842285
sha3_256,32,57.51395225524902
sha3_256,32,55.336952209472656
sha3_256,32,55.88793754577637
sha3_256,32,55.883169174194336
sha3_256,64,112.11085319519043
sha3_256,64,111.21320724487305
sha3_256,64,115.14997482299805
sha3_256,64,111.69576644897461
sha3_256,64,114.64285850524902
sha3_256,128,226.93610191345215
sha3_256,128,262.7589702606201
sha3_256,128,232.8019142150879
sha3_256,128,231.59193992614746
sha3_256,128,228.03282737731934
sha3_256,200,353.75404357910156
sha3_256,200,359.41600799560547
sha3_256,200,384.62305068969727
sha3_256,200,372.8978633880615
sha3_256,200,355.5908203125
sha3_256,512,943.655252456665
sha3_256,512,923.5258102416992
sha3_256,512,903.2430648803711
sha3_256,512,903.005838394165
sha3_256,512,903.7718772888184
blake2s,1,1.9071102142333984
blake2s,1,1.8742084503173828
blake2s,1,1.8520355224609375
blake2s,1,1.9681453704833984
blake2s,1,1.8849372863769531
blake2s,2,3.7550926208496094
blake2s,2,3.7779808044433594
blake2s,2,3.777027130126953
blake2s,2,4.088163375854492
blake2s,2,4.248857498168945
blake2s,4,7.523059844970703
blake2s,4,7.838010787963867
blake2s,4,8.265018463134766
blake2s,4,7.608175277709961
blake2s,4,7.645845413208008
blake2s,8,15.722036361694336
blake2s,8,15.321969985961914
blake2s,8,15.625
blake2s,8,15.170097351074219
blake2s,8,15.928030014038086
blake2s,16,31.263113021850586
blake2s,16,31.700849533081055
blake2s,16,30.974864959716797
blake2s,16,31.37803077697754
blake2s,16,31.28194808959961
blake2s,32,63.07792663574219
blake2s,32,62.052011489868164
blake2s,32,63.05193901062012
blake2s,32,62.0732307434082
blake2s,32,63.23885917663574
blake2s,64,128.09300422668457
blake2s,64,124.76992607116699
blake2s,64,123.81482124328613
blake2s,64,126.12700462341309
blake2s,64,124.45473670959473
blake2s,128,248.61574172973633
blake2s,128,249.0091323852539
blake2s,128,257.1702003479004
blake2s,128,252.02298164367676
blake2s,128,249.62806701660156
blake2s,200,392.73715019226074
blake2s,200,391.7257785797119
blake2s,200,389.16802406311035
blake2s,200,390.1479244232178
blake2s,200,391.4611339569092
blake2s,512,1022.0496654510498
blake2s,512,1036.7019176483154
blake2s,512,1032.3379039764404
blake2s,512,999.5660781860352
blake2s,512,1013.3481025695801
blake2b,1,1.8622875213623047
blake2b,1,1.3661384582519531
blake2b,1,1.3887882232666016
blake2b,1,1.196146011352539
blake2b,1,1.1818408966064453
blake2b,2,2.37274169921875
blake2b,2,2.421140670776367
blake2b,2,2.4101734161376953
blake2b,2,2.362966537475586
blake2b,2,2.340078353881836
blake2b,4,4.739046096801758
blake2b,4,4.820108413696289
blake2b,4,5.1670074462890625
blake2b,4,4.828929901123047
blake2b,4,4.799127578735352
blake2b,8,9.733915328979492
blake2b,8,9.875059127807617
blake2b,8,10.323047637939453
blake2b,8,9.727001190185547
blake2b,8,10.045289993286133
blake2b,16,20.33400535583496
blake2b,16,19.526004791259766
blake2b,16,19.61803436279297
blake2b,16,19.30093765258789
blake2b,16,19.98591423034668
blake2b,32,38.34819793701172
blake2b,32,39.38412666320801
blake2b,32,40.940046310424805
blake2b,32,39.44802284240723
blake2b,32,39.20292854309082
blake2b,64,77.70276069641113
blake2b,64,78.49001884460449
blake2b,64,80.3380012512207
blake2b,64,78.51815223693848
blake2b,64,78.77898216247559
blake2b,128,156.14795684814453
blake2b,128,155.76601028442383
blake2b,128,156.7540168762207
blake2b,128,156.30412101745605
blake2b,128,159.71803665161133
blake2b,200,250.84424018859863
blake2b,200,247.01809883117676
blake2b,200,250.72193145751953
blake2b,200,255.12123107910156
blake2b,200,248.02374839782715
blake2b,512,627.1481513977051
blake2b,512,649.7211456298828
blake2b,512,631.9930553436279
blake2b,512,630.2556991577148
blake2b,512,681.257963180542
blake3,1,0.6558895111083984
blake3,1,0.6432533264160156
blake3,1,0.6377696990966797
blake3,1,0.6310939788818359
blake3,1,0.6430149078369141
blake3,2,1.2707710266113281
blake3,2,1.3341903686523438
blake3,2,1.2860298156738281
blake3,2,1.3461112976074219
blake3,2,1.275777816772461
blake3,4,2.7229785919189453
blake3,4,2.5882720947265625
blake3,4,2.7239322662353516
blake3,4,2.6009082794189453
blake3,4,2.5281906127929688
blake3,8,7.545948028564453
blake3,8,5.825042724609375
blake3,8,5.286931991577148
blake3,8,5.177974700927734
blake3,8,5.275249481201172
blake3,16,11.018991470336914
blake3,16,10.593175888061523
blake3,16,12.040138244628906
blake3,16,10.912179946899414
blake3,16,13.147830963134766
blake3,32,21.041154861450195
blake3,32,22.104978561401367
blake3,32,22.03989028930664
blake3,32,21.366596221923828
blake3,32,22.031068801879883
blake3,64,42.89102554321289
blake3,64,45.49574851989746
blake3,64,45.37606239318848
blake3,64,42.99116134643555
blake3,64,44.14796829223633
blake3,128,87.19015121459961
blake3,128,90.84916114807129
blake3,128,86.90381050109863
blake3,128,87.0521068572998
blake3,128,87.32318878173828
blake3,200,135.44225692749023
blake3,200,137.66884803771973
blake3,200,135.22601127624512
blake3,200,138.64517211914062
blake3,200,136.56902313232422
blake3,512,348.646879196167
blake3,512,351.49192810058594
blake3,512,349.135160446167
blake3,512,348.83999824523926
blake3,512,349.72500801086426
