Algorithm,Data Size (MB),CPU (%),Peak Memory (MB)
md5,1,28.1,135.203125
md5,2,29.9,124.9375
md5,4,30.2,109.125
md5,8,27.1,109.203125
md5,16,35.6,109.125
md5,32,28.8,109.125
md5,64,28.8,107.875
md5,128,34.6,107.921875
md5,200,28.8,55.265625
md5,512,30.1,55.4375
sha1,1,33.7,55.578125
sha1,2,29.0,55.53125
sha1,4,28.4,55.53125
sha1,8,33.6,55.578125
sha1,16,36.3,55.53125
sha1,32,30.4,55.359375
sha1,64,27.8,55.453125
sha1,128,30.7,55.421875
sha1,200,35.2,54.484375
sha1,512,31.4,55.34375
sha256,1,29.6,55.515625
sha256,2,28.4,55.515625
sha256,4,33.0,55.53125
sha256,8,31.6,55.65625
sha256,16,27.6,55.828125
sha256,32,29.2,55.90625
sha256,64,27.6,55.90625
sha256,128,27.2,55.828125
sha256,200,35.7,55.40625
sha256,512,29.8,55.3125
sha512,1,30.0,55.46875
sha512,2,30.9,55.46875
sha512,4,27.5,55.46875
sha512,8,28.3,55.796875
sha512,16,30.2,55.53125
sha512,32,28.2,55.578125
sha512,64,29.4,55.453125
sha512,128,29.0,55.453125
sha512,200,30.0,55.546875
sha512,512,27.8,55.546875
sha3_256,1,29.4,55.765625
sha3_256,2,35.0,55.78125
sha3_256,4,28.6,55.984375
sha3_256,8,26.8,56.015625
sha3_256,16,27.0,56.03125
sha3_256,32,27.7,55.984375
sha3_256,64,32.5,55.78125
sha3_256,128,28.9,55.609375
sha3_256,200,26.9,55.546875
sha3_256,512,26.4,50.59375
blake2s,1,26.9,50.859375
blake2s,2,27.8,50.859375
blake2s,4,29.1,50.890625
blake2s,8,28.3,50.984375
blake2s,16,30.9,50.984375
blake2s,32,30.8,51.078125
blake2s,64,27.6,51.078125
blake2s,128,33.8,50.6875
blake2s,200,27.8,50.25
blake2s,512,29.1,49.875
blake2b,1,27.7,50.125
blake2b,2,29.9,50.125
blake2b,4,31.7,50.3125
blake2b,8,26.9,50.34375
blake2b,16,28.3,50.359375
blake2b,32,30.5,50.453125
blake2b,64,29.1,50.453125
blake2b,128,28.2,50.5
blake2b,200,30.3,50.5
blake2b,512,28.1,50.25
blake3,1,29.1,50.53125
blake3,2,40.5,50.984375
blake3,4,28.4,51.0625
blake3,8,26.6,51.078125
blake3,16,27.7,51.078125
blake3,32,27.5,50.84375
blake3,64,27.5,50.859375
blake3,128,27.2,50.859375
blake3,200,28.8,50.5625
blake3,512,32.3,50.53125
